aisle_id,num_items,aisle
1,895,prepared soups salads
2,36,specialty cheeses
3,2289,energy granola bars
4,1320,instant foods
5,191,marinades meat preparation
6,271,other
7,160,packaged meat
8,34,bakery desserts
9,2452,pasta sauce
11,4,cold flu allergy
12,378,fresh pasta
13,147,prepared meals
14,2556,tofu meat alternatives
16,8467,fresh herbs
17,2275,baking ingredients
18,76,bulk dried fruits vegetables
19,2725,oils vinegars
20,16,oral hygiene
21,7007,packaged cheese
22,7,hair care
23,567,popcorn jerky
24,64076,fresh fruits
25,54,soap
26,593,coffee
27,11,beers coolers
28,8,red wines
29,1229,honeys syrups nectars
30,527,latino foods
31,5757,refrigerated
32,6363,packaged produce
33,3,kosher foods
34,136,frozen meat seafood
35,1232,poultry counter
36,1606,butter
37,1249,ice cream ice
38,1201,frozen meals
40,43,dog food care
41,9,cat food care
42,76,frozen vegan vegetarian
43,103,buns rolls
44,1,eye ear care
45,2318,candy chocolate
46,5,mint gum
47,188,vitamins supplements
48,228,breakfast bars pastries
49,1067,packaged poultry
50,2384,fruit vegetable snacks
51,968,preserved dips spreads
52,2493,frozen breakfast
53,3891,cream
55,5,shave needs
57,938,granola
58,77,frozen breads doughs
59,4868,canned meals beans
61,171,cookies cakes
62,4,white wines
63,4168,grains rice dried goods
64,158,energy sports drinks
65,263,protein meal replacements
66,2843,asian foods
67,1356,fresh dips tapenades
68,413,bulk grains rice dried goods
69,7778,soup broth bouillon
70,187,digestion
71,154,refrigerated pudding desserts
72,2602,condiments
73,2,facial care
76,67,indian foods
77,147,soft drinks
78,3012,crackers
79,699,frozen pizza
80,17,deodorants
81,4993,canned jarred vegetables
83,72194,fresh vegetables
84,17594,milk
85,194,food storage
86,10047,eggs
87,1,more household
88,2367,spreads
89,803,salad dressing toppings
90,20,cocoa drink mixes
91,5246,soy lactosefree
92,5983,baby food formula
93,1327,breakfast bakery
94,2215,tea
95,22,canned meat seafood
96,2916,lunch meat
97,115,baking supplies decor
98,3082,juice nectars
99,1418,canned fruit applesauce
100,7531,missing
101,3,air fresheners candles
102,3,baby bath body care
103,137,ice cream toppings
104,6407,spices seasonings
105,205,doughs gelatins bake mixes
106,2458,hot dogs bacon sausage
107,3345,chips pretzels
108,3032,other creams cheeses
109,17,skin care
110,353,pickled goods olives
112,5448,bread
113,56,frozen juice
114,8,cleaning products
115,27,water seltzer sparkling water
116,12852,frozen produce
117,2796,nuts seeds dried fruit
118,46,first aid
119,23,frozen dessert
120,10659,yogurt
121,2870,cereal
122,152,meat counter
123,43794,packaged vegetables fruits
124,1,spirits
125,347,trail mix snack mix
126,153,feminine care
127,13,body lotions soap
128,1089,tortillas flat bread
129,496,frozen appetizers sides
130,1528,hot cereal pancake mixes
131,2613,dry pasta
132,2,beauty
133,2,muscles joints pain relief
