project,article,granularity,timestamp,access,agent,views
en.wikipedia,Dog,daily,2023082600,all-access,user,9391
en.wikipedia,Dog,daily,2023082700,all-access,user,9956
en.wikipedia,Dog,daily,2023082800,all-access,user,11052
en.wikipedia,Dog,daily,2023082900,all-access,user,11307
en.wikipedia,Dog,daily,2023083000,all-access,user,11731
en.wikipedia,Dog,daily,2023083100,all-access,user,13164
en.wikipedia,Dog,daily,2023090100,all-access,user,17363
en.wikipedia,Dog,daily,2023090200,all-access,user,20887
en.wikipedia,Dog,daily,2023090300,all-access,user,29526
en.wikipedia,Dog,daily,2023090400,all-access,user,17136
en.wikipedia,Dog,daily,2023090500,all-access,user,11963
en.wikipedia,Dog,daily,2023090600,all-access,user,12350
en.wikipedia,Dog,daily,2023090700,all-access,user,11956
en.wikipedia,Dog,daily,2023090800,all-access,user,11747
en.wikipedia,Dog,daily,2023090900,all-access,user,9116
en.wikipedia,Dog,daily,2023091000,all-access,user,9359
en.wikipedia,Dog,daily,2023091100,all-access,user,10436
en.wikipedia,Dog,daily,2023091200,all-access,user,10666
en.wikipedia,Dog,daily,2023091300,all-access,user,10747
en.wikipedia,Dog,daily,2023091400,all-access,user,11079
en.wikipedia,Dog,daily,2023091500,all-access,user,12023
en.wikipedia,Dog,daily,2023091600,all-access,user,14223
en.wikipedia,Dog,daily,2023091700,all-access,user,14608
en.wikipedia,Dog,daily,2023091800,all-access,user,12452
en.wikipedia,Dog,daily,2023091900,all-access,user,13251
en.wikipedia,Dog,daily,2023092000,all-access,user,12798
en.wikipedia,Dog,daily,2023092100,all-access,user,13153
en.wikipedia,Dog,daily,2023092200,all-access,user,11101
en.wikipedia,Dog,daily,2023092300,all-access,user,9379
en.wikipedia,Dog,daily,2023092400,all-access,user,9681
en.wikipedia,Dog,daily,2023092500,all-access,user,11226
en.wikipedia,Dog,daily,2023092600,all-access,user,11844
en.wikipedia,Dog,daily,2023092700,all-access,user,12189
en.wikipedia,Dog,daily,2023092800,all-access,user,12239
en.wikipedia,Dog,daily,2023092900,all-access,user,10995
en.wikipedia,Dog,daily,2023093000,all-access,user,10052
en.wikipedia,Dog,daily,2023100100,all-access,user,11130
en.wikipedia,Dog,daily,2023100200,all-access,user,12092
en.wikipedia,Dog,daily,2023100300,all-access,user,11843
en.wikipedia,Dog,daily,2023100400,all-access,user,12134
en.wikipedia,Dog,daily,2023100500,all-access,user,13602
en.wikipedia,Dog,daily,2023100600,all-access,user,13695
en.wikipedia,Dog,daily,2023100700,all-access,user,10256
en.wikipedia,Dog,daily,2023100800,all-access,user,10311
en.wikipedia,Dog,daily,2023100900,all-access,user,10866
en.wikipedia,Dog,daily,2023101000,all-access,user,11182
en.wikipedia,Dog,daily,2023101100,all-access,user,10933
en.wikipedia,Dog,daily,2023101200,all-access,user,13299
en.wikipedia,Dog,daily,2023101300,all-access,user,12983
en.wikipedia,Dog,daily,2023101400,all-access,user,11332
en.wikipedia,Dog,daily,2023101500,all-access,user,10462
en.wikipedia,Dog,daily,2023101600,all-access,user,10908
en.wikipedia,Dog,daily,2023101700,all-access,user,12708
en.wikipedia,Dog,daily,2023101800,all-access,user,12537
en.wikipedia,Dog,daily,2023101900,all-access,user,11804
en.wikipedia,Dog,daily,2023102000,all-access,user,11285
en.wikipedia,Dog,daily,2023102100,all-access,user,9279
en.wikipedia,Dog,daily,2023102200,all-access,user,9741
en.wikipedia,Dog,daily,2023102300,all-access,user,11554
en.wikipedia,Dog,daily,2023102400,all-access,user,12011
en.wikipedia,Dog,daily,2023102500,all-access,user,11857
en.wikipedia,Dog,daily,2023102600,all-access,user,11937
en.wikipedia,Dog,daily,2023102700,all-access,user,10713
en.wikipedia,Dog,daily,2023102800,all-access,user,8687
en.wikipedia,Dog,daily,2023102900,all-access,user,9469
en.wikipedia,Dog,daily,2023103000,all-access,user,11501
